Problem,Order,Topic,Difficulty,LeetCode Link,Source List,Memory Cue,Target Time,Target Space,Status,Time Taken (mins),My Summary,My Approach,My Pattern,Mistakes,Retry Date,Notes
Contains Duplicate,1,Arrays & Hashing,Easy,https://leetcode.com/problems/contains-duplicate/,https://neetcode.io/practice/practice/neetcode150,"Use a Set; if seen before, duplicate exists.",O(n),O(n),,,,,,,,
Valid Anagram,2,Arrays & Hashing,Easy,https://leetcode.com/problems/valid-anagram/,https://neetcode.io/practice/practice/neetcode150,Order does not matter; compare character counts.,O(n),O(1) for lowercase / O(n) general,,,,,,,,
Two Sum,3,Arrays & Hashing,Easy,https://leetcode.com/problems/two-sum/,https://neetcode.io/practice/practice/neetcode150,"For each num, check if target - num was seen in a Map.",O(n),O(n),,,,,,,,
Group Anagrams,4,Arrays & Hashing,Medium,https://leetcode.com/problems/group-anagrams/,https://neetcode.io/practice/practice/neetcode150,Create a signature key for each word; group same keys in Map.,O(n*k log k) sort-key / O(n*k) count-key,O(n*k),,,,,,,,
Top K Frequent Elements,5,Arrays & Hashing,Medium,https://leetcode.com/problems/top-k-frequent-elements/,https://neetcode.io/practice/practice/neetcode150,Count frequency first; then get the k highest via bucket/heap/sort.,O(n) bucket / O(n log k) heap,O(n),,,,,,,,
Encode and Decode Strings,6,Arrays & Hashing,Medium,https://leetcode.com/problems/encode-and-decode-strings/,https://neetcode.io/practice/practice/neetcode150,Use length-prefix encoding so separators inside strings do not break decoding.,O(n),O(n),,,,,,,,
Product of Array Except Self,7,Arrays & Hashing,Medium,https://leetcode.com/problems/product-of-array-except-self/,https://neetcode.io/practice/practice/neetcode150,answer[i] = product before i * product after i.,O(n),O(1) extra excluding output,,,,,,,,
Valid Sudoku,8,Arrays & Hashing,Medium,https://leetcode.com/problems/valid-sudoku/,https://neetcode.io/practice/practice/neetcode150,"Track seen values for each row, column, and 3x3 box.",O(1) fixed 9x9,O(1) fixed 9x9,,,,,,,,
Longest Consecutive Sequence,9,Arrays & Hashing,Medium,https://leetcode.com/problems/longest-consecutive-sequence/,https://neetcode.io/practice/practice/neetcode150,Start counting only when num - 1 is absent from the Set.,O(n),O(n),,,,,,,,
Valid Palindrome,10,Two Pointers,Easy,https://leetcode.com/problems/valid-palindrome/,https://neetcode.io/practice/practice/neetcode150,Use left/right pointers; skip non-alphanumeric characters.,O(n),O(1),,,,,,,,
Two Sum II - Input Array Is Sorted,11,Two Pointers,Medium,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,https://neetcode.io/practice/practice/neetcode150,Sorted array lets you move left/right based on current sum.,O(n),O(1),,,,,,,,
